account_id,customer_id,account_number,account_type,currency,current_balance,opened_date
2b65ee56-991e-4377-9395-69f29ca99cb5,b5af208d-1d66-44d8-81c5-92883eb9b77c,3563730273,savings,NGN,1643906.15,2025-06-07
485638ae-1b64-442a-a1b7-37bb58823863,b5af208d-1d66-44d8-81c5-92883eb9b77c,1195742845,current,NGN,5610762.16,2024-10-30
2c3a0fcb-e9fd-4e08-bb99-b7ff5d989c2a,a3b26886-ab2c-4421-a6d3-51594aca86fe,6793405462,savings,NGN,1033281.79,2025-12-29
e1208c65-7313-4023-811b-264d30d4a66a,a3b26886-ab2c-4421-a6d3-51594aca86fe,4536808148,solo,NGN,2021.75,2025-12-01
952c7b0c-2287-4ccf-80e0-9a1149efa6ec,a3b26886-ab2c-4421-a6d3-51594aca86fe,8762233309,current,NGN,3352784.62,2025-03-31
417c4dfe-43c1-4e5a-bfa6-699fce4a9adf,8109075f-30cd-4a46-9920-b8e7441649bd,1087750360,savings,NGN,1679452.95,2026-01-05
9bd5741a-d5d2-49f8-b787-1c4fa0c4d305,8109075f-30cd-4a46-9920-b8e7441649bd,7072623565,current,NGN,9220545.94,2025-12-23
2249db60-d756-495c-b5f5-eed495bfd702,314dcdc6-14aa-4423-a2aa-3f7645def3b2,4059457029,savings,NGN,1497045.65,2025-03-25
9d83ec3f-03a3-4e75-ba90-108dc64373db,314dcdc6-14aa-4423-a2aa-3f7645def3b2,3967155391,current,NGN,4168891.61,2023-08-05
58640c4c-16e3-42a3-bd39-a69216031a14,2450649e-85d7-4290-b015-afff897cf35b,6371887780,savings,NGN,120184.6,2026-02-11
61c87013-7dba-4530-8486-19ff7eca1092,2450649e-85d7-4290-b015-afff897cf35b,7084366363,current,NGN,5085365.21,2026-02-02
ecd78d44-6aca-4a9b-91ce-7e43180cac20,419049d8-8a41-4d6e-aad1-9a964909650c,8492584121,savings,NGN,1681079.12,2025-11-30
f89477a4-0f63-4a74-9160-d5bedee16466,419049d8-8a41-4d6e-aad1-9a964909650c,5038083841,current,NGN,6851457.75,2025-09-19
7cad6402-bab8-44cf-a1f0-0929ec545e8c,e566fc01-a6c3-41f1-95b5-aa6e14fa58a3,4605306927,savings,NGN,1349759.31,2023-05-26
8f912fe8-93d0-4b81-9fa2-e9f7198f9cb8,e566fc01-a6c3-41f1-95b5-aa6e14fa58a3,3629399959,current,NGN,2344183.19,2025-02-10
2658173d-909f-40fc-b7dd-6925bb47bae9,5fb66023-9f1c-4326-96c1-e8077b35b0f5,2615523382,savings,NGN,661535.14,2024-07-08
2bf2d81a-aef5-48d4-aa47-4a5eae66f613,5fb66023-9f1c-4326-96c1-e8077b35b0f5,9424332578,current,NGN,8298550.91,2025-09-19
2d19bb79-e9da-4797-afb4-31776456f05c,3489ace8-525e-4105-9692-a1e988a54159,8820361026,savings,NGN,1896917.9,2024-10-13
f8abf045-1377-4d69-9711-d61973bef453,3489ace8-525e-4105-9692-a1e988a54159,1410255171,current,NGN,9189946.91,2025-08-12
9e67ed27-a0fa-4595-baf3-cbb6306bb3fb,c6c3ad6f-a1b4-41b0-9fc0-9b22a080f073,7602420807,savings,NGN,1929234.01,2024-10-28
9bedf4e9-d296-4a1b-b86a-725c3ffc3715,c6c3ad6f-a1b4-41b0-9fc0-9b22a080f073,4146778621,solo,NGN,136550.71,2026-02-05
22d09ddf-1f7d-4fb1-bbde-4b2a2fe7fb4e,c6c3ad6f-a1b4-41b0-9fc0-9b22a080f073,3131517173,current,NGN,6576639.59,2025-03-01
2c861238-80e9-41a7-afa1-e5b5b918562a,585ad849-bb94-446a-9b62-6a132cd2f9af,6275165328,savings,NGN,1662608.91,2025-08-31
d78f8bc1-6d7f-4018-8317-7920baac15af,585ad849-bb94-446a-9b62-6a132cd2f9af,7107649195,current,NGN,7512120.42,2025-12-10
e0ef3ed2-6471-45f8-9f7b-c781be59ea74,49995703-fda2-476e-ab30-0483de20b9ad,3162920717,savings,NGN,141174.1,2025-09-30
c4efd337-4bdc-4fb3-bda4-a30d709e11a7,49995703-fda2-476e-ab30-0483de20b9ad,4525361471,solo,NGN,158007.93,2025-04-20
8892ede6-ec85-4e15-899a-722a07c30c25,49995703-fda2-476e-ab30-0483de20b9ad,5839154501,current,NGN,8327955.48,2025-01-12
85da0077-bc6b-4c20-980a-df0a5c8e97c1,64f043ff-a54e-4c3c-9665-7d6fb4262205,4546419995,savings,NGN,1042669.13,2025-03-20
35eb97a6-c6cb-4112-9770-3686dbe8c3da,64f043ff-a54e-4c3c-9665-7d6fb4262205,6613635801,current,NGN,2232887.87,2025-10-25
b8f82c5a-46b7-43ba-bab0-898c369903dd,92d2b994-cc7c-444b-97f1-7126b96b3cbe,5219425846,savings,NGN,436880.81,2024-09-08
b6af69f0-694f-4c5f-b0cc-ade34ca7e742,92d2b994-cc7c-444b-97f1-7126b96b3cbe,1839590300,current,NGN,6770034.68,2024-10-19
f38cc781-14e7-4ed6-b0ac-e0ce9f1f3dc2,b510bd09-555c-45cd-84ea-b40166de6003,5547543691,savings,NGN,1354917.86,2024-07-19
e14afe42-ec9f-4b14-8197-c7b57d1c6333,b510bd09-555c-45cd-84ea-b40166de6003,8007183978,current,NGN,5414793.63,2023-01-02
e229f69a-b63d-4cbb-aeb6-e7c0ce3cbfc8,688a85bf-534f-4f85-904f-4557ec43b0e4,2471145280,savings,NGN,577495.6,2026-01-27
5e2d3b02-144d-44ca-9086-6fbe33245c92,688a85bf-534f-4f85-904f-4557ec43b0e4,2162707271,current,NGN,5399884.42,2025-11-03
62b3b2cc-17f3-4ca2-8399-87a224a40863,72200222-3b31-497a-9f06-b688d00fed84,6666736584,savings,NGN,1604630.69,2025-02-06
92953db8-3f18-407f-99a7-e94a9b5f3c38,72200222-3b31-497a-9f06-b688d00fed84,6830536657,solo,NGN,129977.03,2025-10-23
2b2a9266-fc22-4b2d-9560-117964cda9d0,72200222-3b31-497a-9f06-b688d00fed84,4378057970,current,NGN,1368160.89,2025-11-16
535eb172-6dbc-4580-99c8-c87849e9702e,dc15218f-43bb-4e12-9e64-97a902f13c48,7174491066,savings,NGN,1039545.44,2023-12-03
38ac971a-640e-4b7d-8ff5-7dae03211a26,dc15218f-43bb-4e12-9e64-97a902f13c48,7508832897,solo,NGN,8585.4,2024-06-09
c72bfd48-1737-4492-8ce3-b09eb12eebef,dc15218f-43bb-4e12-9e64-97a902f13c48,7332810720,current,NGN,8331928.04,2025-09-27
f4304497-e332-454c-a149-e6b48e7682d4,258a286b-710d-4477-963a-cca2fd84eafc,6321223044,savings,NGN,1065146.97,2024-02-22
8454ef1e-0a48-4d1f-931a-993d6e0deaef,258a286b-710d-4477-963a-cca2fd84eafc,7912491409,current,NGN,9473107.96,2024-01-18
875da494-2be6-4a99-9be2-79b472a6270b,a6c4e40f-68fb-435e-a175-4ee6047ed8e7,9441891387,savings,NGN,93005.79,2025-09-11
30da339b-6830-43d4-b421-466e623017f1,a6c4e40f-68fb-435e-a175-4ee6047ed8e7,4541104072,current,NGN,6808636.07,2025-04-04
20d472fc-b532-490d-9c29-bfeb52ad0f40,6790c6bb-dbe3-49cd-a890-e1f64e9832ac,6642913291,savings,NGN,1511076.23,2025-09-25
eea6f3b5-c12e-4133-81a5-620c989fbc1a,6790c6bb-dbe3-49cd-a890-e1f64e9832ac,8467515665,current,NGN,3904557.05,2025-07-24
decdd7b6-8e29-44b4-9717-1fdc6409793c,04dbcafa-70e8-41c6-8166-9e5f15d3d05e,5207559307,savings,NGN,916386.36,2023-06-10
6fe763fe-426f-40da-a802-5d447ae2e4da,04dbcafa-70e8-41c6-8166-9e5f15d3d05e,2883330496,solo,NGN,75290.89,2023-02-18
4e90aa95-974e-4b9d-aa8b-7baa662a409b,04dbcafa-70e8-41c6-8166-9e5f15d3d05e,2461534191,current,NGN,8255822.18,2023-12-31
6f4f5808-c773-4f1c-bbea-88c3a9cf1bd3,db364dbf-c082-4a79-953f-b294d920edb7,5914623769,savings,NGN,240592.86,2024-09-29
5f9d30d4-b2a8-4d84-8861-0976708d3a8e,db364dbf-c082-4a79-953f-b294d920edb7,1013476774,current,NGN,5412268.4,2026-02-10
48e75174-8ee3-44c9-b19a-6d84d6fcd96f,3568ab7b-a170-4721-b47a-29b7f9274df5,8282091974,savings,NGN,593069.19,2024-09-11
78cabebf-b072-4b2c-a445-3a83fcaa3f01,3568ab7b-a170-4721-b47a-29b7f9274df5,3448643841,solo,NGN,12792.62,2024-08-08
c4f0dea2-7ed2-45a9-8154-8231cff5689d,3568ab7b-a170-4721-b47a-29b7f9274df5,9782231160,current,NGN,5803666.13,2025-10-27
fb25ac14-bb2a-40fa-a4e0-dd7af7fc10e4,20baa652-9a13-415d-b92c-882603f8ac75,4906383354,savings,NGN,1316803.79,2024-12-16
660f7bcd-787f-4098-91f8-c2cf3e31c0dd,20baa652-9a13-415d-b92c-882603f8ac75,4824507216,current,NGN,7048488.83,2025-06-19
f2334434-debd-45e9-9c51-1c40bea36707,f0f26d5c-66d3-4978-bee2-540b0bbe1d32,8811705224,savings,NGN,1832768.61,2024-08-01
b2fabdd9-0efd-4a8d-a761-ddcfcae5f3c0,f0f26d5c-66d3-4978-bee2-540b0bbe1d32,2769624076,current,NGN,7189696.93,2025-06-04
a1d96bf1-e305-499c-9089-df17a9be2917,c860b4fa-0043-47d0-a232-ee9cc1a2ed8c,4108117053,savings,NGN,445091.62,2024-12-07
72968055-88cd-479f-8a1b-4fbea37a6369,c860b4fa-0043-47d0-a232-ee9cc1a2ed8c,6817111793,current,NGN,3757852.34,2025-05-03
946b7372-0377-4bc5-ad39-e08222b0d10d,5dc6a118-3407-4eec-aafb-2d08928cb729,5569779558,savings,NGN,101060.69,2026-02-11
78d2321f-4060-48df-857e-e184165093d1,5dc6a118-3407-4eec-aafb-2d08928cb729,8831408669,current,NGN,8926880.48,2025-04-18
e718be26-b0da-4cdf-be90-611f1a39549c,8e6e91b3-5f4b-4178-b507-6f73cd3a5300,7525143668,savings,NGN,1850283.46,2026-01-26
c295956d-984d-4d38-bd31-06cc22b069e2,8e6e91b3-5f4b-4178-b507-6f73cd3a5300,7735556733,current,NGN,8160852.43,2026-02-05
374dd286-9e26-4fe3-a19e-ab05edb82d2d,a09670eb-85b8-4f58-9d83-250b15a8e10f,7865727448,savings,NGN,1451526.3,2022-09-13
cfc25cce-618b-43a9-93f1-b62adbb0651d,a09670eb-85b8-4f58-9d83-250b15a8e10f,6867729235,solo,NGN,54482.21,2023-05-22
06a1ff52-b845-47d6-86d6-a15161d0579b,a09670eb-85b8-4f58-9d83-250b15a8e10f,5215699710,current,NGN,559206.66,2025-05-11
ac0a9177-de48-4f8d-8001-40988cece8d4,8b5074e4-c987-406b-b3a5-702ad9de5e91,1467120321,savings,NGN,541455.53,2025-01-21
